Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,antiguedad,producto_barato_caro,visibilidad_por_precio,clasificacion_visibilidad,Item_Fat_Content_Regular,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0.016047301,249.8092,1999,3735.138,27,1,6.423823061760736e-05,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.019278216,48.2692,2009,443.4228,17,0,0.0003993895900491411,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0.016760075,141.618,1999,2097.27,27,0,0.00011834706746317559,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.0,182.095,1998,732.38,28,1,0.0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0,53.8614,1987,994.7052,39,0,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0.0,51.4008,2009,556.6088,17,0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.012741089,57.6588,1987,343.5528,39,0,0.00022097388429866735,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
0.127469857,107.7622,1985,4022.7636,41,0,0.0011828809823852889,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0.016687114,96.9726,2002,1076.5986,24,0,0.0001720807114587007,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0.09444959,187.8214,2007,4710.535,19,1,0.000502869161873993,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0.0,45.5402,1999,1516.0266,27,0,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.045463773,144.1102,1997,2187.153,29,1,0.000315479216599519,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1000135,145.4786,1999,1589.2646,27,1,0.0006874791206404241,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.047257328,119.6782,1997,2145.2076,29,0,0.00039486997631983103,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.0680243,196.4426,1987,1977.426,39,1,0.00034628079652784067,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0.069088961,56.3614,1997,1547.3192,29,0,0.0012258205261047454,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.008596051,115.3492,2009,1621.8888,17,0,7.452198194699226e-05,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0.069196376,54.3614,1999,718.3982,27,0,0.0012728954000448848,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.034237682,113.2834,1985,2303.668,41,0,0.00030223035325564025,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0.10249212,230.5352,2004,2748.4224,22,1,0.00044458338683203263,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0.138190277,250.8724,1987,3775.086,39,1,0.0005508389005725619,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
0.035399923,144.5444,1985,4064.0432,41,1,0.00024490691441522467,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
